seed,winner,turns,rounds,temperature,ph,current_era,consumed_climate_cards,remaining_climate_cards,board_occupancy,p1_score,p2_score,p1_efficiency,p2_efficiency,p1_dead_turns,p2_dead_turns,terminal
1070,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,16,0.7777777777777778,1.0666666666666667,5,6,True
1071,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,15,16,0.8333333333333334,1.0666666666666667,5,6,True
1072,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,15,16,0.8333333333333334,1.0666666666666667,5,6,True
1073,2.0,29,15,29.5,7.8999999999999995,2,14,16,0.20833333333333334,12,14,0.6,0.9333333333333333,8,10,True
1074,2.0,33,17,29.5,7.9,2,16,14,0.1875,12,16,0.7058823529411765,1.0666666666666667,11,12,True
1075,2.0,33,17,29.5,7.95,2,16,14,0.1875,13,15,0.7647058823529411,1.0,11,12,True
1076,2.0,29,15,29.5,7.85,2,14,16,0.1875,14,15,0.7777777777777778,1.0,9,10,True
1077,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,16,0.8235294117647058,1.0666666666666667,5,6,True
1078,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,16,16,0.8,1.0666666666666667,4,6,True
1079,2.0,31,16,29.5,7.8999999999999995,2,15,15,0.16666666666666666,12,15,0.8,1.0,11,11,True
1080,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,14,0.7058823529411765,0.9333333333333333,5,6,True
1081,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,16,0.7777777777777778,1.0666666666666667,5,6,True
1082,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,11,14,0.7333333333333333,0.9333333333333333,6,6,True
1083,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,14,0.6666666666666666,0.9333333333333333,5,6,True
1084,1.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,15,14,0.8333333333333334,0.9333333333333333,5,6,True
1085,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,15,0.8125,1.0,5,6,True
1086,1.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,16,14,0.8,0.9333333333333333,4,6,True
1087,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,15,15,0.75,1.0,4,6,True
1088,,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,14,0.7368421052631579,0.9333333333333333,5,6,True
1089,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,13,14,0.65,0.9333333333333333,4,6,True
1090,,21,11,28.0,8.200000000000001,1,10,20,0.1875,15,15,0.7894736842105263,1.0,5,6,True
1091,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,12,14,0.631578947368421,0.9333333333333333,4,6,True
1092,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,15,16,0.8333333333333334,1.0666666666666667,5,6,True
1093,2.0,31,16,29.5,7.8999999999999995,2,15,15,0.1875,13,15,0.7222222222222222,1.0,10,11,True
1094,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,16,16,0.8,1.0666666666666667,4,6,True
1095,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,14,15,0.9333333333333333,1.0,6,6,True
1096,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,15,0.8666666666666667,1.0,6,6,True
1097,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,14,0.7,0.9333333333333333,4,6,True
1098,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,15,0.7222222222222222,1.0,5,6,True
1099,,21,11,28.0,8.200000000000001,1,10,20,0.1875,15,15,0.8333333333333334,1.0,5,6,True
1100,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,16,0.7647058823529411,1.0666666666666667,5,6,True
1101,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,13,15,0.65,1.0,4,6,True
1102,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,13,16,0.6842105263157895,1.0666666666666667,4,6,True
1103,,29,15,29.5,7.9,2,14,16,0.1875,14,14,0.7777777777777778,0.9333333333333333,9,10,True
1104,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,11,15,0.6470588235294118,1.0,5,6,True
1105,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,16,0.75,1.0666666666666667,5,6,True
1106,,21,11,28.0,8.200000000000001,1,10,20,0.1875,15,15,0.8333333333333334,1.0,5,6,True
1107,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,16,0.7,1.0666666666666667,4,6,True
1108,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,14,0.7222222222222222,0.9333333333333333,5,6,True
1109,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,15,0.7647058823529411,1.0,5,6,True
1110,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,15,0.7777777777777778,1.0,5,6,True
1111,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,11,15,0.7333333333333333,1.0,6,6,True
1112,2.0,31,16,29.5,7.85,2,15,15,0.1875,14,15,0.7777777777777778,1.0,10,11,True
1113,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,11,16,0.6875,1.0666666666666667,5,6,True
1114,1.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,16,14,0.8421052631578947,0.9333333333333333,5,6,True
1115,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,15,0.7368421052631579,1.0,4,6,True
1116,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,14,0.7368421052631579,0.9333333333333333,4,6,True
1117,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,18,18,0.9,1.2,4,6,True
1118,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,15,0.8666666666666667,1.0,6,6,True
1119,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,13,15,0.7222222222222222,1.0,4,6,True
1120,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,14,0.75,0.9333333333333333,5,6,True
1121,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,13,15,0.6842105263157895,1.0,4,6,True
1122,2.0,29,15,29.5,7.85,2,14,16,0.20833333333333334,14,15,0.7,1.0,8,10,True
1123,2.0,39,20,32.5,7.3500000000000005,3,19,11,0.1875,10,14,0.625,0.9333333333333333,14,15,True
1124,1.0,35,18,29.5,7.8999999999999995,2,17,13,0.20833333333333334,18,16,0.9,1.0666666666666667,11,13,True
1125,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,15,0.7777777777777778,1.0,5,6,True
1126,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,15,0.75,1.0,5,6,True
1127,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,12,15,0.8,1.0,6,6,True
1128,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,16,0.75,1.0666666666666667,5,6,True
1129,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,16,0.8235294117647058,1.0666666666666667,5,6,True
1130,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,11,15,0.6470588235294118,1.0,5,6,True
1131,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,13,13,0.6842105263157895,0.8666666666666667,4,6,True
1132,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,14,16,0.9333333333333333,1.0666666666666667,6,6,True
1133,2.0,31,16,32.5,7.799999999999999,3,15,15,0.1875,12,14,0.6666666666666666,0.9333333333333333,10,11,True
1134,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,15,0.8666666666666667,1.0,6,6,True
1135,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,14,0.8125,0.9333333333333333,6,6,True
1136,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,12,16,0.8571428571428571,1.0666666666666667,6,6,True
1137,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,14,0.8125,0.9333333333333333,6,6,True
1138,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,11,14,0.6470588235294118,0.9333333333333333,5,6,True
1139,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,15,0.8666666666666667,1.0,6,6,True
1140,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,14,0.7222222222222222,0.9333333333333333,5,6,True
1141,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,16,0.8666666666666667,1.0666666666666667,6,6,True
1142,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,15,0.8235294117647058,1.0,5,6,True
1143,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,14,0.6666666666666666,0.9333333333333333,5,6,True
1144,1.0,41,21,32.5,7.550000000000001,3,20,10,0.1875,17,15,0.8947368421052632,1.0,15,16,True
1145,2.0,29,15,29.5,7.8999999999999995,2,14,16,0.20833333333333334,14,15,0.7,1.0,8,10,True
1146,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,15,0.7777777777777778,1.0,5,6,True
1147,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,14,15,0.875,1.0,6,6,True
1148,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,13,15,0.6842105263157895,1.0,4,6,True
1149,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,15,17,0.75,1.1333333333333333,4,6,True
1150,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,16,0.7647058823529411,1.0666666666666667,5,6,True
1151,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,10,14,0.6666666666666666,0.9333333333333333,6,6,True
1152,1.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,15,13,0.75,0.8666666666666667,4,6,True
1153,,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,14,0.7777777777777778,0.9333333333333333,5,6,True
1154,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,15,0.7777777777777778,1.0,5,6,True
1155,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,11,16,0.6470588235294118,1.0666666666666667,5,6,True
1156,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,14,0.7,0.9333333333333333,4,6,True
1157,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,15,0.7777777777777778,1.0,5,6,True
1158,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,12,15,0.631578947368421,1.0,4,6,True
1159,2.0,29,15,29.5,7.8999999999999995,2,14,16,0.1875,13,14,0.7222222222222222,0.9333333333333333,9,10,True
1160,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,15,16,0.9375,1.0666666666666667,6,6,True
1161,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,14,0.7058823529411765,0.9333333333333333,5,6,True
1162,,27,14,29.5,7.8999999999999995,2,13,17,0.20833333333333334,14,14,0.7,0.9333333333333333,7,9,True
1163,2.0,27,14,29.5,7.85,2,13,17,0.1875,15,16,0.8333333333333334,1.0666666666666667,8,9,True
1164,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,16,0.8666666666666667,1.0666666666666667,6,6,True
1165,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,11,14,0.7333333333333333,0.9333333333333333,6,6,True
1166,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,16,0.8235294117647058,1.0666666666666667,5,6,True
1167,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,16,0.8666666666666667,1.0666666666666667,6,6,True
1168,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,14,0.7058823529411765,0.9333333333333333,5,6,True
1169,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,14,0.7647058823529411,0.9333333333333333,5,6,True
1170,2.0,35,18,29.5,7.95,2,17,13,0.1875,13,15,0.8125,1.0,12,13,True
1171,1.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,15,14,0.7894736842105263,0.9333333333333333,5,6,True
1172,,31,16,29.5,7.85,2,15,15,0.1875,15,15,0.8333333333333334,1.0,10,11,True
1173,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,16,0.7222222222222222,1.0666666666666667,5,6,True
1174,,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,14,0.7368421052631579,0.9333333333333333,5,6,True
1175,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,16,0.7368421052631579,1.0666666666666667,5,6,True
1176,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,11,14,0.6875,0.9333333333333333,5,6,True
1177,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,16,0.7777777777777778,1.0666666666666667,5,6,True
1178,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,10,14,0.5882352941176471,0.9333333333333333,5,6,True
1179,1.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,16,14,0.8,0.9333333333333333,4,6,True
1180,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,14,0.8125,0.9333333333333333,6,6,True
1181,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,15,17,0.75,1.1333333333333333,4,6,True
1182,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,15,0.7058823529411765,1.0,5,6,True
1183,,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,14,0.7777777777777778,0.9333333333333333,5,6,True
1184,2.0,31,16,29.5,7.8500000000000005,2,15,15,0.16666666666666666,11,14,0.7857142857142857,0.9333333333333333,11,11,True
1185,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,14,0.7058823529411765,0.9333333333333333,5,6,True
1186,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,12,16,0.631578947368421,1.0666666666666667,4,6,True
1187,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,11,16,0.7333333333333333,1.0666666666666667,6,6,True
1188,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,14,16,0.9333333333333333,1.0666666666666667,6,6,True
1189,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,14,0.7222222222222222,0.9333333333333333,5,6,True
1190,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,16,16,0.8,1.0666666666666667,4,6,True
1191,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,13,13,0.65,0.8666666666666667,4,6,True
1192,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,11,16,0.6111111111111112,1.0666666666666667,4,6,True
1193,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,16,0.7777777777777778,1.0666666666666667,5,6,True
1194,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,12,14,0.6666666666666666,0.9333333333333333,4,6,True
1195,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,14,0.7222222222222222,0.9333333333333333,5,6,True
1196,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,11,14,0.7333333333333333,0.9333333333333333,6,6,True
1197,,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,14,0.8235294117647058,0.9333333333333333,5,6,True
1198,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,13,14,0.65,0.9333333333333333,4,6,True
1199,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,15,16,0.8823529411764706,1.0666666666666667,5,6,True
1200,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,12,16,0.6666666666666666,1.0666666666666667,4,6,True
1201,2.0,33,17,29.5,7.95,2,16,14,0.1875,12,16,0.7058823529411765,1.0666666666666667,11,12,True
1202,1.0,31,16,29.5,7.95,2,15,15,0.1875,15,14,0.8333333333333334,0.9333333333333333,10,11,True
1203,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,15,0.7,1.0,4,6,True
1204,,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,14,0.7777777777777778,0.9333333333333333,5,6,True
1205,,25,13,29.5,7.8500000000000005,2,12,18,0.1875,16,16,0.8421052631578947,1.0666666666666667,7,8,True
1206,2.0,47,24,32.5,7.4,3,23,7,0.20833333333333334,14,16,0.7,1.0666666666666667,17,19,True
1207,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,16,0.7368421052631579,1.0666666666666667,4,6,True
1208,2.0,29,15,29.5,7.85,2,14,16,0.1875,12,15,0.7058823529411765,1.0,9,10,True
1209,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,15,0.7647058823529411,1.0,5,6,True
1210,2.0,37,19,32.5,7.8,3,18,12,0.1875,13,15,0.7647058823529411,1.0,13,14,True
1211,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,15,0.7222222222222222,1.0,5,6,True
1212,,25,13,29.5,7.85,2,12,18,0.1875,15,15,0.8333333333333334,1.0,7,8,True
1213,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,14,0.7,0.9333333333333333,4,6,True
1214,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,13,14,0.7647058823529411,0.9333333333333333,5,6,True
1215,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,15,0.7777777777777778,1.0,5,6,True
1216,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,14,0.75,0.9333333333333333,5,6,True
1217,2.0,41,21,32.5,7.35,3,20,10,0.1875,13,16,0.7647058823529411,1.0666666666666667,15,16,True
1218,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,12,16,0.7058823529411765,1.0666666666666667,5,6,True
1219,2.0,21,11,28.0,8.200000000000001,1,10,20,0.16666666666666666,13,15,0.8125,1.0,6,6,True
1220,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,15,0.7368421052631579,1.0,4,6,True
1221,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,14,14,0.7368421052631579,0.9333333333333333,4,6,True
1222,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,15,0.7777777777777778,1.0,5,6,True
1223,2.0,21,11,28.0,8.200000000000001,1,10,20,0.1875,14,15,0.7777777777777778,1.0,5,6,True
1224,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,12,14,0.631578947368421,0.9333333333333333,4,6,True
1225,2.0,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,12,14,0.6,0.9333333333333333,4,6,True
1226,1.0,33,17,32.5,7.449999999999999,3,16,14,0.1875,14,13,0.7777777777777778,0.8666666666666667,11,12,True
1227,,21,11,28.0,8.200000000000001,1,10,20,0.20833333333333334,15,15,0.7894736842105263,1.0,4,6,True
